materials-id,composition,target
158,Pm1 Dy1 O3,FALSE
159,Eu1 W1 O3,TRUE
160,Sm1 W1 O3,TRUE
161,Pr1 Sm1 O3,FALSE
162,Sm1 Pb1 O3,FALSE
163,Ho1 Tm1 O3,FALSE
164,Ho1 Nb1 O3,FALSE
165,Ho1 As1 O3,FALSE
166,Hg1 I1 O3,FALSE
167,Nd1 Te1 O3,FALSE
168,Pd1 Pt1 O3,FALSE
169,Pm1 Y1 O3,FALSE
170,Ca1 Ta1 O3,FALSE
171,Lu1 In1 O3,FALSE
172,Dy1 Tc1 O3,FALSE
173,Re1 Au1 O3,FALSE
174,Nd1 Ta1 O3,FALSE
175,Nd1 Au1 O3,FALSE
176,Tm1 Sn1 O3,FALSE
177,Dy1 As1 O3,FALSE
178,Er1 Co1 O3,TRUE
179,Sr1 Tc1 O3,TRUE
180,La1 Pr1 O3,FALSE
181,Sm1 Er1 O3,FALSE
182,Tm1 Ag1 O3,FALSE
183,Os1 Au1 O3,FALSE
184,Ce1 Mo1 O3,TRUE
185,Eu1 Pb1 O3,FALSE
186,Tb1 Pd1 O3,FALSE
187,Dy1 Nb1 O3,FALSE
188,Gd1 Dy1 O3,FALSE
189,Tl1 Mo1 O3,TRUE
190,Pm1 Dy1 O3,FALSE
191,Y1 Pd1 O3,FALSE
192,Nd1 Ho1 O3,FALSE
193,Ce1 Er1 O3,FALSE
194,Dy1 Tm1 O3,FALSE
195,Pm1 Sb1 O3,FALSE
196,Sm1 Hf1 O3,FALSE
197,Sr1 Cr1 O3,TRUE
198,Er1 Ru1 O3,FALSE
199,Ce1 Ag1 O3,FALSE
200,Tm1 Mo1 O3,TRUE
201,Cd1 Mo1 O3,TRUE
202,Hf1 Hg1 O3,FALSE
203,Pd1 Ru1 O3,FALSE
204,Pm1 Ho1 O3,FALSE
205,Tl1 Ag1 O3,FALSE
206,Ce1 Pr1 O3,FALSE
207,Gd1 Sb1 O3,FALSE
208,Tb1 Sm1 O3,FALSE
209,La1 Nd1 O3,FALSE
210,Eu1 Y1 O3,FALSE
211,Pr1 Ag1 O3,FALSE
212,Tb1 Ir1 O3,FALSE
213,Ta1 Cu1 O3,FALSE
214,Y1 Ir1 O3,FALSE
215,Fe1 Tc1 O3,FALSE
216,Eu1 Tl1 O3,FALSE
217,Tm1 Te1 O3,FALSE
218,Eu1 Pt1 O3,FALSE
219,Tb1 Pr1 O3,FALSE
220,Ag1 Ir1 O3,FALSE
221,Co1 Ir1 O3,FALSE
222,Gd1 Dy1 O3,FALSE
223,Ti1 In1 O3,FALSE
224,Tb1 Pr1 O3,FALSE
225,Ce1 Sm1 O3,FALSE
226,Ag1 Os1 O3,FALSE
227,Ho1 Sb1 O3,FALSE
228,Co1 Os1 O3,FALSE
229,Ce1 Hg1 O3,FALSE
230,Mn1 W1 O3,TRUE
231,La1 Pd1 O3,FALSE
232,Zn1 W1 O3,TRUE
233,Tb1 Er1 O3,FALSE
234,Zr1 Fe1 O3,FALSE
235,Co1 Pd1 O3,FALSE
236,Hg1 Ru1 O3,FALSE
237,Pm1 Ti1 O3,FALSE
238,Sc1 Nb1 O3,FALSE
239,Ho1 Lu1 O3,FALSE
240,Tm1 W1 O3,TRUE
241,Ag1 Pd1 O3,FALSE
242,Dy1 Ho1 O3,FALSE
243,Sm1 Ru1 O3,FALSE
244,Sm1 Eu1 O3,FALSE
245,Pt1 Pb1 O3,FALSE
246,Zn1 Re1 O3,FALSE
247,Pm1 Rh1 O3,FALSE
248,Sc1 As1 O3,FALSE
249,Eu1 Tm1 O3,FALSE
250,La1 Ir1 O3,FALSE
251,Er1 Tl1 O3,FALSE
252,Pm1 As1 O3,FALSE
253,Ce1 Au1 O3,FALSE
254,Ce1 Ta1 O3,FALSE
255,Ba1 Ta1 O3,TRUE
256,La1 Tm1 O3,FALSE
257,Tl1 Au1 O3,FALSE
258,Gd1 As1 O3,FALSE
259,Mn1 Au1 O3,TRUE
260,Zn1 Ir1 O3,FALSE
261,Nd1 Mo1 O3,TRUE
262,Pm1 Tm1 O3,FALSE
263,Gd1 Nb1 O3,FALSE
264,Pr1 Pb1 O3,FALSE
265,Fe1 Pd1 O3,TRUE
266,Pm1 Nb1 O3,FALSE
267,Sc1 Ti1 O3,FALSE
268,Cr1 Sb1 O3,TRUE
269,Dy1 Lu1 O3,FALSE
270,Lu1 Pd1 O3,FALSE
271,Eu1 Ru1 O3,FALSE
272,Zn1 Os1 O3,FALSE
273,Dy1 Zr1 O3,FALSE
274,Nd1 Ag1 O3,FALSE
275,W1 Au1 O3,TRUE
276,Nd1 Tm1 O3,FALSE
277,Ho1 Tm1 O3,FALSE
